date,eu,jap,hh
02-June-2007,0.006246116,-0.015352709,-0.047076973
02-July-2007,0.012376396,0.020877585,-0.158732257
01-August-2007,0.025502293,0.0588405,0.000246358
01-September-2007,0.023697791,0.049408402,-0.034285199
01-October-2007,0.070085171,0.055302552,0.118379608
01-November-2007,0.033282729,0.066729103,0.041303341
01-December-2007,0.002109705,0.004366819,0.006733565
01-January-2008,0.120005129,0.079539816,0.117558336
31-January-2008,0.012999255,0.050991438,0.069535523
02-March-2008,0.018282045,0.046693823,0.094387329
01-April-2008,0.099090903,0.041113923,0.080679014
02-May-2008,0.015466324,0.018221762,0.10340416
01-June-2008,0.019992669,0.037135069,0.119477851
02-July-2008,0.129067764,0.022933028,-0.143863141
01-August-2008,0.018614808,0.070341489,-0.294339477
01-September-2008,0.014242357,0.082535968,-0.071315988
01-October-2008,0.070204259,0.042183125,-0.135454567
01-November-2008,-0.007561473,0.003325577,-0.007274591
01-December-2008,-0.019802627,-0.088823957,-0.146369632
01-January-2009,-0.109670867,-0.08082918,-0.10031
31-January-2009,-0.229644116,-0.189110878,-0.146178839
02-March-2009,-0.012762252,-0.104093891,-0.132658961
02-April-2009,-0.247520847,-0.154854162,-0.118057917
02-May-2009,-0.050613212,-0.079427134,0.09064296
02-June-2009,-0.017456802,-0.043603637,-0.009222652
02-July-2009,-0.175552069,0.05024818,-0.116410878
01-August-2009,0.03679591,0.027434771,-0.088636774
01-September-2009,0.029895465,0.081627494,-0.036434841
01-October-2009,0.063837013,0.077664585,0.299909582
01-November-2009,0.027256717,0.003291281,-0.104586356
01-December-2009,0.025285797,0.066726706,0.407418684
01-January-2010,0.09406096,0.026290695,0.062441138
31-January-2010,0,0.048695112,-0.087576757
02-March-2010,0.014664673,-0.009551171,-0.225290154
02-April-2010,-0.171850257,0.0523484,-0.050088101
02-May-2010,-0.033809846,0.036660341,0.033905564
02-June-2010,0.062645396,-0.083267099,0.148070463
02-July-2010,0.038027396,0.077102394,-0.036910827
01-August-2010,0.049737358,-0.001768347,-0.08457576
01-September-2010,-0.020323473,-0.024183892,-0.09454587
01-October-2010,0.001207001,0.009025332,-0.129069847
01-November-2010,0.035548767,-0.026401169,0.092374894
01-December-2010,0.017311454,-0.008337241,0.124356658
01-January-2011,0.094894033,0.063083975,0.05634547
31-January-2011,-0.026358932,0.048582199,-0.103864341
02-March-2011,0.001067806,0.039156715,-0.016398765
02-April-2011,0.100439141,0.038451186,0.066742718
02-May-2011,-0.005808342,0.046624986,0.014390724
02-June-2011,-0.003891055,0.064722193,0.047150795
02-July-2011,0.068732929,0.110718039,-0.026143328
01-August-2011,-0.016514137,0.020141053,-0.08709456
01-September-2011,0.003693448,-0.017063181,-0.040264151
01-October-2011,0.051201124,0.012824603,-0.085365835
01-November-2011,-0.008795131,0.018040177,-0.107512545
01-December-2011,0.018381262,-0.018040177,-0.019104977
01-January-2012,-0.006962604,0.013859818,-0.169490886
31-January-2012,-0.029244441,-0.041545376,-0.049677266
02-March-2012,0.073658231,0.019154123,-0.159051458
01-April-2012,-0.047037315,0.030734567,-0.093438994
02-May-2012,0.019081238,0.015896714,0.219025619
01-June-2012,-0.01297035,0.004662013,0.01004028
02-July-2012,-0.031832927,0.051554888,0.185577859
01-August-2012,0.004482302,-0.020642295,-0.051430738
01-September-2012,-0.008984786,-0.052658969,0.016157903
01-October-2012,0.044137791,-0.09531018,0.153841355
01-November-2012,0.021359206,-0.019802627,0.054898971
01-December-2012,-0.003386963,0.026966448,-0.054254932
01-January-2013,0.006762494,0.030673331,0.001817174
31-January-2013,-0.008460287,0.035850564,-0.008963893
02-March-2013,0.008460287,-0.012217623,0.145070653
02-April-2013,0.081661512,-0.004311679,0.089139302
02-May-2013,-0.046889797,0.001233806,-0.040426596
02-June-2013,-0.030568262,0.023759875,-0.057875464
02-July-2013,-0.027212564,-0.02684725,-0.048767994
01-August-2013,0.003442344,-0.035886759,-0.053256529
01-September-2013,-0.034079314,-0.041890942,0.051143663
01-October-2013,0.010610179,0.022472856,0.01847116
01-November-2013,0.004387896,0.006514681,-0.005014599
01-December-2013,0.011319233,0.061693569,0.154883692
01-January-2014,0.00345722,0.017549618,0.093108039
31-January-2014,-0.025339932,0.005384398,0.246475032
02-March-2014,-0.037876484,-0.012608993,-0.216280224
02-April-2014,-0.013882685,0.014397369,-0.033400749
