date,hh,jap
01-May-08,0.10340416,-0.008703912
01-Jun-08,0.119477851,0.123617227
01-Jul-08,-0.143863141,-0.037458429
01-Aug-08,-0.294339477,-0.170605913
01-Sep-08,-0.071315988,0.222822717
01-Oct-08,-0.135454567,-0.094472136
01-Nov-08,-0.007274591,-0.246659994
01-Dec-08,-0.146369632,-0.118674846
01-Jan-09,-0.10031,-0.031155463
02-Feb-09,-0.146178839,-0.249535657
02-Mar-09,-0.132658961,-0.355553433
02-Apr-09,-0.118057917,-0.075575263
02-May-09,0.09064296,0.003924695
02-Jun-09,-0.009222652,0.000127116
02-Jul-09,-0.116410878,-0.140138265
01-Aug-09,-0.088636774,0.017578495
01-Sep-09,-0.036434841,0.0581001
01-Oct-09,0.299909582,0.304569549
01-Nov-09,-0.104586356,-0.07064026
01-Dec-09,0.407418684,0.01792192
01-Jan-10,0.062441138,0.119022863
01-Feb-10,-0.087576757,-0.091018553
02-Mar-10,-0.225290154,-0.155194585
02-Apr-10,-0.050088101,0.068614828
02-May-10,0.033905564,0.14673673
02-Jun-10,0.148070463,0.117853755
02-Jul-10,-0.036910827,0.087641318
01-Aug-10,-0.08457576,-0.09508479
01-Sep-10,-0.09454587,0.072580591
01-Oct-10,-0.129069847,0.107299724
01-Nov-10,0.092374894,0.054351814
01-Dec-10,0.124356658,0.156282792
01-Jan-11,0.05634547,-0.051751672
02-Feb-11,-0.103864341,-0.014435088
02-Mar-11,-0.016398765,0.126280016
02-Apr-11,0.066742718,-0.01456795
02-May-11,0.014390724,-0.036692067
02-Jun-11,0.047150795,-0.001290878
02-Jul-11,-0.026143328,-0.055588717
01-Aug-11,-0.08709456,-0.003216671
01-Sep-11,-0.040264151,0.11960555
01-Oct-11,-0.085365835,0.030398407
01-Nov-11,-0.107512545,-0.035800578
01-Dec-11,-0.019104977,-0.111505712
01-Jan-12,-0.169490886,-0.042423036
01-Feb-12,-0.049677266,0.093271768
01-Mar-12,-0.159051458,0.01296989
01-Apr-12,-0.093438994,-0.007805733
01-May-12,0.219025619,-0.072520237
01-Jun-12,0.01004028,-0.021338417
02-Jul-12,0.185577859,0.007398298
01-Aug-12,-0.051430738,0.037105798
01-Sep-12,0.016157903,0.084460537
01-Oct-12,0.153841355,0.082363993
31-Oct-12,0.054898971,0.014375426
01-Dec-12,-0.054254932,0.00892187
01-Jan-13,0.001817174,-0.007550322
01-Feb-13,-0.008963893,-0.035625872
02-Mar-13,0.145070653,0.012471902
02-Apr-13,0.089139302,-0.01836361
02-May-13,-0.040426596,-0.032563565
